iata,icao,name,aliases
AN,AAA,Ansett Australia,
W9,AAB,Abelag Aviation,
CT,AAE,Air Atlanta Europe,
ZI,AAF,Aigle Azur (1970),Aigle Azur Transports Aeriens|Lucas Aigle Azur|Lucas Aviation|Société Aigle Azur Transports Aériens
JI,AAG,,
KH,AAH,Aloha Air Cargo,Aeko Kula Inc.
AA,AAL,American Airlines,"AMR Corporation|American Air Lines|American Airlines Group|American Airlines, Inc.|American Airways"
OB,AAN,Oasis Airlines,
HB,AAQ,Asia Atlantic Airlines,
OZ,AAR,Asiana Airlines,ASIANA|Asiana Airlines Inc.|Asiana Cargo|Seoul Airlines
4K,AAS,Askari Aviation,
IM,AAU,Australia Asia Airlines,
8Y,AAV,Pan Pacific Airlines,Astro Air International
8U,AAW,,
G4,AAY,Allegiant Air,Allegiant
AU,AAZ,Aigle Azur (1946),L'Aigle Bleu|Société Coopérative Aérienne de Transports Méditerranéens
CC,ABD,Air Atlanta Icelandic,Air Atlanta
K5,ABE,Aban Air,
E4,ABJ,Abaeté Aviação,
8Z,ABK,Albatros Airlines,
BX,ABL,Air Busan,
ZB,ABN,Air Albania,
V6,ABP,Air Atlantique,
PA,ABQ,airblue,Air Blue|AIRBLUE
AG,ABR,ASL Airlines Ireland,ASL Ireland
9T,ABS,Transwest Air,
O4,ABV,Antrak Air,Antrak
RU,ABW,AirBridgeCargo Airlines,Air Bridge Cargo|Air Bridge Cargo Airlines|Air Bridge Cargo Airlines LLC|AirBridgeCargo
GB,ABX,ABX Air,ABEX|Airborne Express
G9,ABY,Air Arabia,
AC,ACA,Air Canada,Trans-Canada Air Lines|Air Canada Jetz|Air Canada Tango
SF,ACF,Air Charter,Air Charter International|Societé Aérienne Française d'Affrètements
SB,ACI,Aircalin,Air Caledonie International|Air Calédonie International|Societe Aircalin|Société Aircalin
9K,ACK,Nantucket Airlines,
JK,ACL,AerCaribe,
8V,ACP,Astral Aviation,
N6,ACQ,,
2S,ACV,Air Carnival,
6U,ACX,Air Cargo Germany,ACG|ACG Air Cargo Germany
G6,ACY,Fly Arna,
ZY,ADE,Ada Air,Ada-Air|Adalbanair
AP,ADH,Air One,Air One S.p.A.
Z7,ADK,ADC Airlines,ADC Airlines Nigeria|Aviation Development Company|Aviation Development Company plc
YU,ADM,,"Dominair, S.A."
HD,ADO,Air Do,Hokkaido International Airlines
JP,ADR,Adria Airways,Adria Airways d.d.|Inex Adria|Inex Adria Airways|Inex-Adria Aviopromet
3L,ADY,,
UX,AEA,Air Europa,"Air Europa Líneas Aéreas, S.A.U."
X9,AEB,Avion Express Brasil,
